frame.time_epoch	frame.len	frame.cap_len	frame.interface_id
1147551795.526632000	80	80	
1147551795.558494000	80	80	
1147551795.558549000	72	72	
1147551795.558891000	420	420	
1147551795.610647000	1480	1480	
1147551795.610710000	72	72	
1147551795.614533000	955	955	
1147551795.614593000	72	72	
1147551796.702602000	80	80	
1147551796.733498000	80	80	
1147551796.733563000	72	72	
1147551796.757467000	425	425	
1147551796.800016000	360	360	
1147551796.800075000	72	72	
1147551796.819072000	879	879	
1147551796.819167000	72	72	
1147551796.840235000	460	460	
1147551796.845688000	463	463	
1147551796.890641000	1480	1480	
1147551796.896523000	1480	1480	
1147551796.896586000	72	72	
1147551796.900395000	985	985	
1147551796.907127000	1480	1480	
1147551796.907201000	72	72	
1147551796.908915000	378	378	
1147551796.908972000	72	72	
1147551796.940562000	72	72	
1147551796.975646000	437	437	
1147551797.014034000	496	496	
1147551797.019337000	359	359	
1147551797.019399000	72	72	
1147551797.029966000	698	698	
1147551797.030024000	72	72	
1147551797.058967000	361	361	
1147551797.059044000	72	72	
1147551797.082057000	1480	1480	
1147551797.082134000	72	72	
1147551797.088680000	1480	1480	
1147551797.088710000	72	72	
1147551797.094102000	1352	1352	
1147551797.094148000	72	72	
1147551797.100024000	1480	1480	
1147551797.100057000	72	72	
1147551797.106193000	1480	1480	
1147551797.106243000	72	72	
1147551797.111060000	1170	1170	
1147551797.111110000	72	72	
1147551797.251529000	499	499	
1147551797.297939000	361	361	
1147551797.298002000	72	72	
1147551797.306466000	1223	1223	
1147551797.306655000	72	72	
1147551797.338424000	80	80	
1147551797.369426000	80	80	
1147551797.369516000	72	72	
1147551797.395509000	503	503	
1147551797.441848000	364	364	
1147551797.441908000	72	72	
1147551797.448662000	1480	1480	
1147551797.448766000	72	72	
1147551797.478486000	1480	1480	
1147551797.478649000	72	72	
1147551797.484666000	1480	1480	
1147551797.484760000	72	72	
1147551797.490538000	1480	1480	
1147551797.490704000	72	72	
1147551797.496714000	1480	1480	
1147551797.496810000	72	72	
1147551797.515677000	1480	1480	
1147551797.515774000	72	72	
1147551797.521591000	1480	1480	
1147551797.521757000	72	72	
1147551797.526499000	1292	1292	
1147551797.526597000	72	72	
1147551798.923702000	80	80	
1147551799.037406000	84	84	
1147551799.037466000	72	72	
1147551799.045896000	543	543	
1147551799.361438000	72	72	
1147551799.429458000	395	395	
1147551799.429522000	72	72	
