frame.time_epoch	frame.len	frame.cap_len	frame.interface_id
1112172466.496046000	70	70	
1112172466.496576000	98	98	
1112172470.501268000	70	70	
1112172471.333401000	298	298	
1112172479.313231000	70	70	
1112172479.452255000	70	70	
1112172487.320873000	85	85	
1112172487.321379000	129	129	
1112172558.685951000	74	74	
1112172558.734862000	90	90	
1112172575.461181000	74	74	
1112172575.698849000	102	102	
1112172635.523440000	74	74	
1112172635.523827000	102	102	
1112172644.735890000	74	74	
1112172644.752428000	94	94	
1112172654.349862000	76	76	
1112172654.366527000	76	76	
1112172695.204348000	75	75	
1112172695.437491000	75	75	
1112172706.819984000	79	79	
1112172707.032976000	79	79	
1112172737.660780000	71	71	
1112172737.733384000	115	115	
1112172737.737204000	82	82	
1112172737.737792000	105	105	
1112172737.740166000	67	67	
1112172737.755930000	129	129	
1112172737.758453000	166	166	
1112172737.775741000	129	129	
1112172737.776396000	98	98	
1112172737.793697000	98	98	
1112172737.794240000	140	140	
1112172737.813924000	140	140	
1112172737.915705000	83	83	
1112172737.932629000	83	83	
1112172745.357346000	83	83	
1112172745.375359000	83	83	
