frame.time_epoch	frame.len	frame.cap_len	frame.interface_id
1084443427.311224000	62	62	
1084443428.222534000	62	62	
1084443428.222534000	54	54	
1084443428.222534000	533	533	
1084443428.783340000	54	54	
1084443428.993643000	1434	1434	
1084443429.123830000	54	54	
1084443429.123830000	1434	1434	
1084443429.324118000	54	54	
1084443429.754737000	1434	1434	
1084443429.864896000	1434	1434	
1084443429.864896000	54	54	
1084443429.864896000	89	89	
1084443429.945011000	1434	1434	
1084443430.125270000	54	54	
1084443430.205385000	1434	1434	
1084443430.225414000	188	188	
1084443430.295515000	775	775	
1084443430.325558000	54	54	
1084443430.686076000	1434	1434	
1084443430.806249000	1434	1434	
1084443430.806249000	54	54	
1084443430.946451000	1434	1434	
1084443430.956465000	54	54	
1084443431.126710000	54	54	
1084443431.226854000	1484	1484	
1084443431.266912000	214	214	
1084443431.266912000	54	54	
1084443431.417128000	1434	1434	
1084443431.527286000	54	54	
1084443431.537300000	1434	1434	
1084443431.667488000	1434	1434	
1084443431.667488000	54	54	
1084443431.807689000	1434	1434	
1084443431.807689000	54	54	
1084443432.088092000	1484	1484	
1084443432.088092000	54	54	
1084443432.158193000	478	478	
1084443432.328438000	54	54	
1084443445.216971000	54	54	
1084443445.216971000	54	54	
1084443457.374452000	54	54	
1084443457.704928000	54	54	
