frame.time_epoch	frame.len	frame.cap_len	frame.interface_id
943755158.387203000	74	74	
943755158.389728000	74	74	
943755158.389775000	66	66	
943755158.391363000	93	93	
943755158.537538000	69	69	
943755158.537605000	66	66	
943755158.537777000	69	69	
943755158.539149000	66	66	
943755158.540860000	91	91	
943755158.541068000	130	130	
943755158.542187000	66	66	
943755158.542780000	84	84	
943755158.542859000	75	75	
943755158.543849000	66	66	
943755158.546219000	90	90	
943755158.546430000	66	66	
943755158.547047000	151	151	
943755158.548221000	66	66	
943755158.568470000	69	69	
943755158.568581000	69	69	
943755158.569718000	66	66	
943755158.583509000	78	78	
943755158.583630000	72	72	
943755158.584705000	66	66	
943755158.585489000	81	81	
943755158.596419000	66	66	
943755158.597730000	98	98	
943755158.616442000	66	66	
943755159.705066000	73	73	
943755159.716432000	66	66	
943755160.949196000	72	72	
943755160.950568000	66	66	
943755160.962649000	69	69	
943755160.962801000	69	69	
943755160.963879000	66	66	
943755160.964875000	75	75	
943755160.976432000	66	66	
943755161.968708000	72	72	
943755161.970016000	66	66	
943755162.234355000	68	68	
943755162.246453000	66	66	
943755162.247616000	69	69	
943755162.247774000	69	69	
943755162.249163000	66	66	
943755163.528695000	126	126	
943755163.546441000	66	66	
943755163.548353000	554	554	
943755163.566442000	66	66	
943755163.585871000	68	68	
943755163.596432000	66	66	
943755178.295480000	92	92	
943755178.297120000	66	66	
943755178.666433000	92	92	
943755178.667588000	66	66	
943755178.701179000	117	117	
943755178.716445000	66	66	
943755178.774496000	130	130	
943755178.786454000	66	66	
943755179.771591000	130	130	
943755179.786445000	66	66	
943755180.770394000	130	130	
943755180.786443000	66	66	
943755181.771781000	130	130	
943755181.786445000	66	66	
943755182.773461000	130	130	
943755182.786452000	66	66	
943755183.768817000	130	130	
943755183.786441000	66	66	
943755184.205415000	71	71	
943755184.206739000	66	66	
943755184.218707000	69	69	
943755184.220058000	67	67	
943755184.220780000	67	67	
943755184.236421000	66	66	
943755184.237834000	218	218	
943755184.256443000	66	66	
943755185.260561000	70	70	
943755185.261884000	66	66	
943755185.299376000	68	68	
943755185.316431000	66	66	
943755194.097376000	73	73	
943755194.098914000	66	66	
943755194.274496000	135	135	
943755194.286455000	66	66	
943755194.287691000	68	68	
943755194.306430000	66	66	
943755197.940748000	72	72	
943755197.942532000	66	66	
943755197.956973000	66	66	
943755197.956998000	66	66	
943755197.957149000	66	66	
943755197.958477000	66	66	
